Type;Wanted station;#;CS;Info1;cx;Rx frequency MHz;KTBF dBm;Polar;Interferer;#;CS;Info1;Tx frequency MHz;Unwanted Pr dBm;Polar;TD dB;Cumulated TD dB;IRF dB;IRF from;XPD dB;Tx pow dBm;Tx BW kHz;Tx addloss dB;Tx losses dB;Tx antgain dB;Tx main OAA;Tx ant att dB;Rx BW kHz;Rx losses dB;Rx ant gain dB;Rx main OAA;Rx ant att dB;Distance m;Prop loss dB;Tx az;Tx tilt;Rx az;Rx tilt;Wind turbine unwanted power (dBm);Tx->Rx az;Tx->Rx tilt
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;768;AF 210317;;8092.500000;-205.92;H;0.00;0.00;0.0;IRF MASK;0.0;29.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;769;AF 210318;;8092.500000;-205.92;H;0.00;0.00;0.0;IRF MASK;0.0;29.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;770;AF 219417;;8092.500000;-208.92;H;0.00;0.00;0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;771;AF 219419;;8092.500000;-208.92;H;0.00;0.00;0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;772;AF 219423;;8065.229000;-202.73;H;0.00;0.00;0.0;IRF MASK;0.0;32.40;2190.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.28;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;772;AF 219423;;8092.500000;-202.82;H;0.00;0.00;0.0;IRF MASK;0.0;32.40;2190.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;773;AF 229325;;8092.500000;-209.32;H;0.00;0.00;0.0;IRF MASK;0.0;25.90;968.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;774;AF 229333;;8093.800000;-212.92;H;0.00;0.00;0.0;IRF MASK;0.0;22.30;1700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.37;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;774;AF 229333;;8092.500000;-212.92;H;0.00;0.00;0.0;IRF MASK;0.0;22.30;1700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;775;AF 229338;;8092.500000;-215.19;H;0.00;0.00;5.9;IRF MASK;0.0;25.90;38700.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
Microwave (wanted);DENVER;4;1008807;FAA 100727;1;8085.000000;-99;H;Schriever;776;AF 229341;;8092.500000;-209.32;H;0.00;0.00;0.0;IRF MASK;0.0;25.90;965.00;0.00;0.00;58.00;112.35;68.00;10000.00;4.10;40.50;10.33;30.25;163936.92;231.36;224.0;35.0;171.9;0.1;-999.0;161.9;-0.7
